BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
230 Rudersdal;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1545
230 Rudersdal;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;6057
230 Rudersdal;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;930
230 Rudersdal;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;7007
230 Rudersdal;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;626
230 Rudersdal;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;35565
240 Egedal;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1686
240 Egedal;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;4020
240 Egedal;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;265
240 Egedal;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1822
240 Egedal;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;168
240 Egedal;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;28729
250 Frederikssund;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1421
250 Frederikssund;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;4197
250 Frederikssund;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;214
250 Frederikssund;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1311
250 Frederikssund;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;100
250 Frederikssund;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;30878
253 Greve;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1698
253 Greve;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;3716
253 Greve;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;292
253 Greve;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1563
253 Greve;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;77
253 Greve;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;34142
259 Køge;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1829
259 Køge;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;4354
259 Køge;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;288
259 Køge;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1544
