DECILGEN;KOMMUNEDK;TID;INDHOLD
2DC Second decil;727 Odder;2013 2013;160388
3DC Third decil;727 Odder;2013 2013;183736
4DC Fourth decil;727 Odder;2013 2013;206212
5DC Fifth decil;727 Odder;2013 2013;228044
6DC Sixth decil;727 Odder;2013 2013;248885
7DC Seventh decil;727 Odder;2013 2013;271931
8DC Eigth decil;727 Odder;2013 2013;301498
9DC Ninth decil;727 Odder;2013 2013;346304
10DC Tenth decil;727 Odder;2013 2013;512537
1DC First decil;730 Randers;2013 2013;85895
2DC Second decil;730 Randers;2013 2013;141840
3DC Third decil;730 Randers;2013 2013;161621
4DC Fourth decil;730 Randers;2013 2013;180889
5DC Fifth decil;730 Randers;2013 2013;201635
6DC Sixth decil;730 Randers;2013 2013;222182
7DC Seventh decil;730 Randers;2013 2013;244064
8DC Eigth decil;730 Randers;2013 2013;270931
9DC Ninth decil;730 Randers;2013 2013;309283
10DC Tenth decil;730 Randers;2013 2013;456092
1DC First decil;740 Silkeborg;2013 2013;80976
2DC Second decil;740 Silkeborg;2013 2013;151578
3DC Third decil;740 Silkeborg;2013 2013;174921
4DC Fourth decil;740 Silkeborg;2013 2013;198293
5DC Fifth decil;740 Silkeborg;2013 2013;220242
6DC Sixth decil;740 Silkeborg;2013 2013;242943
7DC Seventh decil;740 Silkeborg;2013 2013;267495
8DC Eigth decil;740 Silkeborg;2013 2013;297574
9DC Ninth decil;740 Silkeborg;2013 2013;341959
10DC Tenth decil;740 Silkeborg;2013 2013;524104
1DC First decil;741 Samsø;2013 2013;96283
2DC Second decil;741 Samsø;2013 2013;143753
3DC Third decil;741 Samsø;2013 2013;157478
4DC Fourth decil;741 Samsø;2013 2013;170958
5DC Fifth decil;741 Samsø;2013 2013;185732
6DC Sixth decil;741 Samsø;2013 2013;204801
7DC Seventh decil;741 Samsø;2013 2013;225422
8DC Eigth decil;741 Samsø;2013 2013;253430
9DC Ninth decil;741 Samsø;2013 2013;295109
10DC Tenth decil;741 Samsø;2013 2013;488215
1DC First decil;746 Skanderborg;2013 2013;108174
2DC Second decil;746 Skanderborg;2013 2013;168253
3DC Third decil;746 Skanderborg;2013 2013;196493
4DC Fourth decil;746 Skanderborg;2013 2013;220251
5DC Fifth decil;746 Skanderborg;2013 2013;241973
6DC Sixth decil;746 Skanderborg;2013 2013;264670
7DC Seventh decil;746 Skanderborg;2013 2013;289059
8DC Eigth decil;746 Skanderborg;2013 2013;319234
9DC Ninth decil;746 Skanderborg;2013 2013;363070
10DC Tenth decil;746 Skanderborg;2013 2013;547541
1DC First decil;751 Aarhus;2013 2013;56344
