DECILGEN;KOMMUNEDK;TID;INDHOLD 
3DC Third decil;479 Svendborg;1987 1987;65386
4DC Fourth decil;479 Svendborg;1987 1987;72969
5DC Fifth decil;479 Svendborg;1987 1987;80169
6DC Sixth decil;479 Svendborg;1987 1987;86908
7DC Seventh decil;479 Svendborg;1987 1987;94035
8DC Eigth decil;479 Svendborg;1987 1987;102711
9DC Ninth decil;479 Svendborg;1987 1987;115239
10DC Tenth decil;479 Svendborg;1987 1987;162017
1DC First decil;480 Nordfyns;1987 1987;29741
2DC Second decil;480 Nordfyns;1987 1987;58233
3DC Third decil;480 Nordfyns;1987 1987;66605
4DC Fourth decil;480 Nordfyns;1987 1987;74202
5DC Fifth decil;480 Nordfyns;1987 1987;81339
6DC Sixth decil;480 Nordfyns;1987 1987;88062
7DC Seventh decil;480 Nordfyns;1987 1987;94929
8DC Eigth decil;480 Nordfyns;1987 1987;102768
9DC Ninth decil;480 Nordfyns;1987 1987;113291
10DC Tenth decil;480 Nordfyns;1987 1987;145168
1DC First decil;482 Langeland;1987 1987;27130
2DC Second decil;482 Langeland;1987 1987;54714
3DC Third decil;482 Langeland;1987 1987;61741
4DC Fourth decil;482 Langeland;1987 1987;68439
5DC Fifth decil;482 Langeland;1987 1987;75260
6DC Sixth decil;482 Langeland;1987 1987;81795
7DC Seventh decil;482 Langeland;1987 1987;88692
8DC Eigth decil;482 Langeland;1987 1987;96798
9DC Ninth decil;482 Langeland;1987 1987;107648
10DC Tenth decil;482 Langeland;1987 1987;146522
1DC First decil;492 Ærø;1987 1987;19657
2DC Second decil;492 Ærø;1987 1987;53187
3DC Third decil;492 Ærø;1987 1987;60805
4DC Fourth decil;492 Ærø;1987 1987;66932
5DC Fifth decil;492 Ærø;1987 1987;73474
6DC Sixth decil;492 Ærø;1987 1987;80259
7DC Seventh decil;492 Ærø;1987 1987;87913
8DC Eigth decil;492 Ærø;1987 1987;98112
9DC Ninth decil;492 Ærø;1987 1987;112444
10DC Tenth decil;492 Ærø;1987 1987;162852
1DC First decil;510 Haderslev;1987 1987;31935
2DC Second decil;510 Haderslev;1987 1987;58038
3DC Third decil;510 Haderslev;1987 1987;66542
4DC Fourth decil;510 Haderslev;1987 1987;74105
5DC Fifth decil;510 Haderslev;1987 1987;80964
6DC Sixth decil;510 Haderslev;1987 1987;87512
7DC Seventh decil;510 Haderslev;1987 1987;94331
8DC Eigth decil;510 Haderslev;1987 1987;102646
9DC Ninth decil;510 Haderslev;1987 1987;114569
10DC Tenth decil;510 Haderslev;1987 1987;154939
1DC First decil;530 Billund;1987 1987;32917
2DC Second decil;530 Billund;1987 1987;59527
3DC Third decil;530 Billund;1987 1987;68916
4DC Fourth decil;530 Billund;1987 1987;77276
5DC Fifth decil;530 Billund;1987 1987;84423
6DC Sixth decil;530 Billund;1987 1987;90827
7DC Seventh decil;530 Billund;1987 1987;97699
8DC Eigth decil;530 Billund;1987 1987;106094
9DC Ninth decil;530 Billund;1987 1987;117821
10DC Tenth decil;530 Billund;1987 1987;170134
1DC First decil;540 Sønderborg;1987 1987;33765
2DC Second decil;540 Sønderborg;1987 1987;60084
3DC Third decil;540 Sønderborg;1987 1987;69457
4DC Fourth decil;540 Sønderborg;1987 1987;77545
5DC Fifth decil;540 Sønderborg;1987 1987;84467
6DC Sixth decil;540 Sønderborg;1987 1987;90883
7DC Seventh decil;540 Sønderborg;1987 1987;97714
8DC Eigth decil;540 Sønderborg;1987 1987;106352
9DC Ninth decil;540 Sønderborg;1987 1987;118493
10DC Tenth decil;540 Sønderborg;1987 1987;156382
1DC First decil;550 Tønder;1987 1987;29133
2DC Second decil;550 Tønder;1987 1987;56998
3DC Third decil;550 Tønder;1987 1987;65671
4DC Fourth decil;550 Tønder;1987 1987;73466
5DC Fifth decil;550 Tønder;1987 1987;80501
6DC Sixth decil;550 Tønder;1987 1987;87192
7DC Seventh decil;550 Tønder;1987 1987;94294
8DC Eigth decil;550 Tønder;1987 1987;102914
9DC Ninth decil;550 Tønder;1987 1987;114907
10DC Tenth decil;550 Tønder;1987 1987;151277
1DC First decil;561 Esbjerg;1987 1987;30451
2DC Second decil;561 Esbjerg;1987 1987;59883
3DC Third decil;561 Esbjerg;1987 1987;69086
4DC Fourth decil;561 Esbjerg;1987 1987;77117
5DC Fifth decil;561 Esbjerg;1987 1987;84071
6DC Sixth decil;561 Esbjerg;1987 1987;90716
7DC Seventh decil;561 Esbjerg;1987 1987;97976
8DC Eigth decil;561 Esbjerg;1987 1987;106769
9DC Ninth decil;561 Esbjerg;1987 1987;119331
10DC Tenth decil;561 Esbjerg;1987 1987;165169
1DC First decil;563 Fanø;1987 1987;11710
2DC Second decil;563 Fanø;1987 1987;57868
3DC Third decil;563 Fanø;1987 1987;69394
4DC Fourth decil;563 Fanø;1987 1987;77992
5DC Fifth decil;563 Fanø;1987 1987;85611
6DC Sixth decil;563 Fanø;1987 1987;93659
7DC Seventh decil;563 Fanø;1987 1987;102719
8DC Eigth decil;563 Fanø;1987 1987;113294
9DC Ninth decil;563 Fanø;1987 1987;130952
10DC Tenth decil;563 Fanø;1987 1987;177126
1DC First decil;573 Varde;1987 1987;31235
2DC Second decil;573 Varde;1987 1987;58209
3DC Third decil;573 Varde;1987 1987;66879
4DC Fourth decil;573 Varde;1987 1987;74882
5DC Fifth decil;573 Varde;1987 1987;81839
6DC Sixth decil;573 Varde;1987 1987;88431
7DC Seventh decil;573 Varde;1987 1987;95311
8DC Eigth decil;573 Varde;1987 1987;103629
9DC Ninth decil;573 Varde;1987 1987;115613
10DC Tenth decil;573 Varde;1987 1987;152469
1DC First decil;575 Vejen;1987 1987;27307
2DC Second decil;575 Vejen;1987 1987;56397
3DC Third decil;575 Vejen;1987 1987;65082
4DC Fourth decil;575 Vejen;1987 1987;72861
5DC Fifth decil;575 Vejen;1987 1987;80022
6DC Sixth decil;575 Vejen;1987 1987;86629
7DC Seventh decil;575 Vejen;1987 1987;93612
8DC Eigth decil;575 Vejen;1987 1987;101623
9DC Ninth decil;575 Vejen;1987 1987;113103
10DC Tenth decil;575 Vejen;1987 1987;149811
1DC First decil;580 Aabenraa;1987 1987;32392
2DC Second decil;580 Aabenraa;1987 1987;57606
3DC Third decil;580 Aabenraa;1987 1987;66307
4DC Fourth decil;580 Aabenraa;1987 1987;74363
5DC Fifth decil;580 Aabenraa;1987 1987;81428
6DC Sixth decil;580 Aabenraa;1987 1987;88112
7DC Seventh decil;580 Aabenraa;1987 1987;95331
8DC Eigth decil;580 Aabenraa;1987 1987;103934
9DC Ninth decil;580 Aabenraa;1987 1987;116181
10DC Tenth decil;580 Aabenraa;1987 1987;160791
1DC First decil;607 Fredericia;1987 1987;37960
2DC Second decil;607 Fredericia;1987 1987;62124
3DC Third decil;607 Fredericia;1987 1987;71945
4DC Fourth decil;607 Fredericia;1987 1987;79808
5DC Fifth decil;607 Fredericia;1987 1987;86522
6DC Sixth decil;607 Fredericia;1987 1987;92803
7DC Seventh decil;607 Fredericia;1987 1987;99663
8DC Eigth decil;607 Fredericia;1987 1987;108100
9DC Ninth decil;607 Fredericia;1987 1987;119735
10DC Tenth decil;607 Fredericia;1987 1987;155970
1DC First decil;615 Horsens;1987 1987;31268
2DC Second decil;615 Horsens;1987 1987;57719
3DC Third decil;615 Horsens;1987 1987;66681
4DC Fourth decil;615 Horsens;1987 1987;74741
5DC Fifth decil;615 Horsens;1987 1987;82196
6DC Sixth decil;615 Horsens;1987 1987;89007
7DC Seventh decil;615 Horsens;1987 1987;96051
8DC Eigth decil;615 Horsens;1987 1987;104308
9DC Ninth decil;615 Horsens;1987 1987;115954
10DC Tenth decil;615 Horsens;1987 1987;153454
1DC First decil;621 Kolding;1987 1987;33587
2DC Second decil;621 Kolding;1987 1987;59165
3DC Third decil;621 Kolding;1987 1987;67986
4DC Fourth decil;621 Kolding;1987 1987;76212
5DC Fifth decil;621 Kolding;1987 1987;83346
6DC Sixth decil;621 Kolding;1987 1987;89868
7DC Seventh decil;621 Kolding;1987 1987;97025
8DC Eigth decil;621 Kolding;1987 1987;105322
9DC Ninth decil;621 Kolding;1987 1987;117117
10DC Tenth decil;621 Kolding;1987 1987;157334
1DC First decil;630 Vejle;1987 1987;29566
2DC Second decil;630 Vejle;1987 1987;58079
3DC Third decil;630 Vejle;1987 1987;67529
4DC Fourth decil;630 Vejle;1987 1987;76073
5DC Fifth decil;630 Vejle;1987 1987;83530
6DC Sixth decil;630 Vejle;1987 1987;90455
7DC Seventh decil;630 Vejle;1987 1987;97659
8DC Eigth decil;630 Vejle;1987 1987;106263
9DC Ninth decil;630 Vejle;1987 1987;118348
10DC Tenth decil;630 Vejle;1987 1987;158017
1DC First decil;657 Herning;1987 1987;31081
2DC Second decil;657 Herning;1987 1987;60116
3DC Third decil;657 Herning;1987 1987;70106
4DC Fourth decil;657 Herning;1987 1987;78553
5DC Fifth decil;657 Herning;1987 1987;85699
6DC Sixth decil;657 Herning;1987 1987;92364
7DC Seventh decil;657 Herning;1987 1987;99352
8DC Eigth decil;657 Herning;1987 1987;107823
9DC Ninth decil;657 Herning;1987 1987;120013
10DC Tenth decil;657 Herning;1987 1987;164689
1DC First decil;661 Holstebro;1987 1987;31252
2DC Second decil;661 Holstebro;1987 1987;58170
3DC Third decil;661 Holstebro;1987 1987;67487
4DC Fourth decil;661 Holstebro;1987 1987;76058
5DC Fifth decil;661 Holstebro;1987 1987;83366
6DC Sixth decil;661 Holstebro;1987 1987;90172
7DC Seventh decil;661 Holstebro;1987 1987;97281
8DC Eigth decil;661 Holstebro;1987 1987;105648
9DC Ninth decil;661 Holstebro;1987 1987;117480
10DC Tenth decil;661 Holstebro;1987 1987;159103
1DC First decil;665 Lemvig;1987 1987;23742
2DC Second decil;665 Lemvig;1987 1987;55296
3DC Third decil;665 Lemvig;1987 1987;65357
4DC Fourth decil;665 Lemvig;1987 1987;74222
5DC Fifth decil;665 Lemvig;1987 1987;82451
6DC Sixth decil;665 Lemvig;1987 1987;89871
7DC Seventh decil;665 Lemvig;1987 1987;97592
8DC Eigth decil;665 Lemvig;1987 1987;106649
9DC Ninth decil;665 Lemvig;1987 1987;118959
10DC Tenth decil;665 Lemvig;1987 1987;162550
1DC First decil;671 Struer;1987 1987;29422
2DC Second decil;671 Struer;1987 1987;58901
3DC Third decil;671 Struer;1987 1987;68518
4DC Fourth decil;671 Struer;1987 1987;76303
5DC Fifth decil;671 Struer;1987 1987;83273
6DC Sixth decil;671 Struer;1987 1987;89694
7DC Seventh decil;671 Struer;1987 1987;96385
8DC Eigth decil;671 Struer;1987 1987;104303
9DC Ninth decil;671 Struer;1987 1987;115316
10DC Tenth decil;671 Struer;1987 1987;150171
1DC First decil;706 Syddjurs;1987 1987;29170
2DC Second decil;706 Syddjurs;1987 1987;58247
3DC Third decil;706 Syddjurs;1987 1987;67710
4DC Fourth decil;706 Syddjurs;1987 1987;76129
5DC Fifth decil;706 Syddjurs;1987 1987;83662
6DC Sixth decil;706 Syddjurs;1987 1987;90666
7DC Seventh decil;706 Syddjurs;1987 1987;98092
8DC Eigth decil;706 Syddjurs;1987 1987;106921
9DC Ninth decil;706 Syddjurs;1987 1987;119324
10DC Tenth decil;706 Syddjurs;1987 1987;167329
1DC First decil;707 Norddjurs;1987 1987;25630
2DC Second decil;707 Norddjurs;1987 1987;56491
3DC Third decil;707 Norddjurs;1987 1987;64975
4DC Fourth decil;707 Norddjurs;1987 1987;73148
5DC Fifth decil;707 Norddjurs;1987 1987;80783
6DC Sixth decil;707 Norddjurs;1987 1987;87729
7DC Seventh decil;707 Norddjurs;1987 1987;94725
8DC Eigth decil;707 Norddjurs;1987 1987;103117
9DC Ninth decil;707 Norddjurs;1987 1987;114817
10DC Tenth decil;707 Norddjurs;1987 1987;149828
1DC First decil;710 Favrskov;1987 1987;31575
2DC Second decil;710 Favrskov;1987 1987;61726
3DC Third decil;710 Favrskov;1987 1987;71776
4DC Fourth decil;710 Favrskov;1987 1987;80209
5DC Fifth decil;710 Favrskov;1987 1987;87102
6DC Sixth decil;710 Favrskov;1987 1987;93302
7DC Seventh decil;710 Favrskov;1987 1987;99709
8DC Eigth decil;710 Favrskov;1987 1987;107399
9DC Ninth decil;710 Favrskov;1987 1987;118241
10DC Tenth decil;710 Favrskov;1987 1987;152551
1DC First decil;727 Odder;1987 1987;33903
2DC Second decil;727 Odder;1987 1987;60132
3DC Third decil;727 Odder;1987 1987;70059
4DC Fourth decil;727 Odder;1987 1987;78331
5DC Fifth decil;727 Odder;1987 1987;85152
6DC Sixth decil;727 Odder;1987 1987;91184
7DC Seventh decil;727 Odder;1987 1987;98033
8DC Eigth decil;727 Odder;1987 1987;106645
9DC Ninth decil;727 Odder;1987 1987;118454
10DC Tenth decil;727 Odder;1987 1987;166330
1DC First decil;730 Randers;1987 1987;33151
2DC Second decil;730 Randers;1987 1987;57743
3DC Third decil;730 Randers;1987 1987;66297
4DC Fourth decil;730 Randers;1987 1987;74184
5DC Fifth decil;730 Randers;1987 1987;81269
6DC Sixth decil;730 Randers;1987 1987;87876
7DC Seventh decil;730 Randers;1987 1987;94659
8DC Eigth decil;730 Randers;1987 1987;102637
9DC Ninth decil;730 Randers;1987 1987;114035
10DC Tenth decil;730 Randers;1987 1987;155576
1DC First decil;740 Silkeborg;1987 1987;27995
2DC Second decil;740 Silkeborg;1987 1987;60134
3DC Third decil;740 Silkeborg;1987 1987;69598
4DC Fourth decil;740 Silkeborg;1987 1987;78039
5DC Fifth decil;740 Silkeborg;1987 1987;85243
6DC Sixth decil;740 Silkeborg;1987 1987;92073
7DC Seventh decil;740 Silkeborg;1987 1987;99239
8DC Eigth decil;740 Silkeborg;1987 1987;108225
9DC Ninth decil;740 Silkeborg;1987 1987;120633
10DC Tenth decil;740 Silkeborg;1987 1987;165089
1DC First decil;741 Samsø;1987 1987;26003
2DC Second decil;741 Samsø;1987 1987;52738
3DC Third decil;741 Samsø;1987 1987;58826
4DC Fourth decil;741 Samsø;1987 1987;64907
5DC Fifth decil;741 Samsø;1987 1987;71557
6DC Sixth decil;741 Samsø;1987 1987;78514
7DC Seventh decil;741 Samsø;1987 1987;85777
8DC Eigth decil;741 Samsø;1987 1987;93545
9DC Ninth decil;741 Samsø;1987 1987;104951
10DC Tenth decil;741 Samsø;1987 1987;135841
1DC First decil;746 Skanderborg;1987 1987;30975
2DC Second decil;746 Skanderborg;1987 1987;62532
3DC Third decil;746 Skanderborg;1987 1987;72896
4DC Fourth decil;746 Skanderborg;1987 1987;80805
5DC Fifth decil;746 Skanderborg;1987 1987;87487
6DC Sixth decil;746 Skanderborg;1987 1987;93676
7DC Seventh decil;746 Skanderborg;1987 1987;100412
8DC Eigth decil;746 Skanderborg;1987 1987;108662
9DC Ninth decil;746 Skanderborg;1987 1987;120298
10DC Tenth decil;746 Skanderborg;1987 1987;157152
1DC First decil;751 Aarhus;1987 1987;30826
2DC Second decil;751 Aarhus;1987 1987;57558
3DC Third decil;751 Aarhus;1987 1987;67471
4DC Fourth decil;751 Aarhus;1987 1987;76047
5DC Fifth decil;751 Aarhus;1987 1987;83969
6DC Sixth decil;751 Aarhus;1987 1987;91373
7DC Seventh decil;751 Aarhus;1987 1987;99162
8DC Eigth decil;751 Aarhus;1987 1987;108610
9DC Ninth decil;751 Aarhus;1987 1987;121671
10DC Tenth decil;751 Aarhus;1987 1987;166182
1DC First decil;756 Ikast-Brande;1987 1987;27203
2DC Second decil;756 Ikast-Brande;1987 1987;58402
3DC Third decil;756 Ikast-Brande;1987 1987;68019
4DC Fourth decil;756 Ikast-Brande;1987 1987;76373
5DC Fifth decil;756 Ikast-Brande;1987 1987;83527
6DC Sixth decil;756 Ikast-Brande;1987 1987;90478
7DC Seventh decil;756 Ikast-Brande;1987 1987;97434
8DC Eigth decil;756 Ikast-Brande;1987 1987;105791
9DC Ninth decil;756 Ikast-Brande;1987 1987;117452
10DC Tenth decil;756 Ikast-Brande;1987 1987;164163
1DC First decil;760 Ringkøbing-Skjern;1987 1987;26263
2DC Second decil;760 Ringkøbing-Skjern;1987 1987;57456
3DC Third decil;760 Ringkøbing-Skjern;1987 1987;66652
4DC Fourth decil;760 Ringkøbing-Skjern;1987 1987;74963
5DC Fifth decil;760 Ringkøbing-Skjern;1987 1987;82337
6DC Sixth decil;760 Ringkøbing-Skjern;1987 1987;89210
7DC Seventh decil;760 Ringkøbing-Skjern;1987 1987;96582
8DC Eigth decil;760 Ringkøbing-Skjern;1987 1987;105229
9DC Ninth decil;760 Ringkøbing-Skjern;1987 1987;117643
10DC Tenth decil;760 Ringkøbing-Skjern;1987 1987;156507
1DC First decil;766 Hedensted;1987 1987;31441
2DC Second decil;766 Hedensted;1987 1987;59713
3DC Third decil;766 Hedensted;1987 1987;69096
4DC Fourth decil;766 Hedensted;1987 1987;77582
5DC Fifth decil;766 Hedensted;1987 1987;84932
6DC Sixth decil;766 Hedensted;1987 1987;91871
7DC Seventh decil;766 Hedensted;1987 1987;99144
8DC Eigth decil;766 Hedensted;1987 1987;107464
9DC Ninth decil;766 Hedensted;1987 1987;119323
10DC Tenth decil;766 Hedensted;1987 1987;157303
1DC First decil;773 Morsø;1987 1987;30824
2DC Second decil;773 Morsø;1987 1987;55437
3DC Third decil;773 Morsø;1987 1987;63128
4DC Fourth decil;773 Morsø;1987 1987;70384
5DC Fifth decil;773 Morsø;1987 1987;77783
6DC Sixth decil;773 Morsø;1987 1987;84367
7DC Seventh decil;773 Morsø;1987 1987;91285
8DC Eigth decil;773 Morsø;1987 1987;99749
9DC Ninth decil;773 Morsø;1987 1987;111347
10DC Tenth decil;773 Morsø;1987 1987;147658
1DC First decil;779 Skive;1987 1987;29052
2DC Second decil;779 Skive;1987 1987;56772
3DC Third decil;779 Skive;1987 1987;65153
4DC Fourth decil;779 Skive;1987 1987;73065
5DC Fifth decil;779 Skive;1987 1987;80103
6DC Sixth decil;779 Skive;1987 1987;86670
7DC Seventh decil;779 Skive;1987 1987;93430
8DC Eigth decil;779 Skive;1987 1987;101304
9DC Ninth decil;779 Skive;1987 1987;112642
10DC Tenth decil;779 Skive;1987 1987;151407
1DC First decil;787 Thisted;1987 1987;28670
2DC Second decil;787 Thisted;1987 1987;55476
3DC Third decil;787 Thisted;1987 1987;63635
4DC Fourth decil;787 Thisted;1987 1987;71445
5DC Fifth decil;787 Thisted;1987 1987;78655
6DC Sixth decil;787 Thisted;1987 1987;85691
7DC Seventh decil;787 Thisted;1987 1987;92962
8DC Eigth decil;787 Thisted;1987 1987;101256
9DC Ninth decil;787 Thisted;1987 1987;112743
10DC Tenth decil;787 Thisted;1987 1987;153864
1DC First decil;791 Viborg;1987 1987;29555
2DC Second decil;791 Viborg;1987 1987;58465
3DC Third decil;791 Viborg;1987 1987;67400
4DC Fourth decil;791 Viborg;1987 1987;75519
5DC Fifth decil;791 Viborg;1987 1987;82345
6DC Sixth decil;791 Viborg;1987 1987;88763
7DC Seventh decil;791 Viborg;1987 1987;95546
8DC Eigth decil;791 Viborg;1987 1987;103672
9DC Ninth decil;791 Viborg;1987 1987;115261
10DC Tenth decil;791 Viborg;1987 1987;152829
1DC First decil;810 Brønderslev;1987 1987;24126
2DC Second decil;810 Brønderslev;1987 1987;55733
3DC Third decil;810 Brønderslev;1987 1987;63874
4DC Fourth decil;810 Brønderslev;1987 1987;71205
5DC Fifth decil;810 Brønderslev;1987 1987;78163
6DC Sixth decil;810 Brønderslev;1987 1987;84796
7DC Seventh decil;810 Brønderslev;1987 1987;91626
8DC Eigth decil;810 Brønderslev;1987 1987;99646
9DC Ninth decil;810 Brønderslev;1987 1987;110625
10DC Tenth decil;810 Brønderslev;1987 1987;146542
1DC First decil;813 Frederikshavn;1987 1987;32887
2DC Second decil;813 Frederikshavn;1987 1987;59922
3DC Third decil;813 Frederikshavn;1987 1987;68777
4DC Fourth decil;813 Frederikshavn;1987 1987;76841
5DC Fifth decil;813 Frederikshavn;1987 1987;83784
6DC Sixth decil;813 Frederikshavn;1987 1987;90205
7DC Seventh decil;813 Frederikshavn;1987 1987;97183
8DC Eigth decil;813 Frederikshavn;1987 1987;105523
9DC Ninth decil;813 Frederikshavn;1987 1987;117455
10DC Tenth decil;813 Frederikshavn;1987 1987;156380
1DC First decil;820 Vesthimmerlands;1987 1987;23403
2DC Second decil;820 Vesthimmerlands;1987 1987;54003
3DC Third decil;820 Vesthimmerlands;1987 1987;62376
4DC Fourth decil;820 Vesthimmerlands;1987 1987;69840
5DC Fifth decil;820 Vesthimmerlands;1987 1987;77185
6DC Sixth decil;820 Vesthimmerlands;1987 1987;83991
7DC Seventh decil;820 Vesthimmerlands;1987 1987;90892
8DC Eigth decil;820 Vesthimmerlands;1987 1987;99073
9DC Ninth decil;820 Vesthimmerlands;1987 1987;110447
10DC Tenth decil;820 Vesthimmerlands;1987 1987;143686
1DC First decil;825 Læsø;1987 1987;22369
2DC Second decil;825 Læsø;1987 1987;52882
3DC Third decil;825 Læsø;1987 1987;59933
4DC Fourth decil;825 Læsø;1987 1987;65384
5DC Fifth decil;825 Læsø;1987 1987;71656
6DC Sixth decil;825 Læsø;1987 1987;78440
7DC Seventh decil;825 Læsø;1987 1987;86042
8DC Eigth decil;825 Læsø;1987 1987;94766
9DC Ninth decil;825 Læsø;1987 1987;109017
10DC Tenth decil;825 Læsø;1987 1987;146972
1DC First decil;840 Rebild;1987 1987;24320
2DC Second decil;840 Rebild;1987 1987;58133
3DC Third decil;840 Rebild;1987 1987;67010
4DC Fourth decil;840 Rebild;1987 1987;75447
5DC Fifth decil;840 Rebild;1987 1987;82868
6DC Sixth decil;840 Rebild;1987 1987;90086
7DC Seventh decil;840 Rebild;1987 1987;96799
8DC Eigth decil;840 Rebild;1987 1987;105180
9DC Ninth decil;840 Rebild;1987 1987;116806
10DC Tenth decil;840 Rebild;1987 1987;157839
1DC First decil;846 Mariagerfjord;1987 1987;22543
2DC Second decil;846 Mariagerfjord;1987 1987;56216
3DC Third decil;846 Mariagerfjord;1987 1987;64687
4DC Fourth decil;846 Mariagerfjord;1987 1987;72478
5DC Fifth decil;846 Mariagerfjord;1987 1987;79908
6DC Sixth decil;846 Mariagerfjord;1987 1987;86840
7DC Seventh decil;846 Mariagerfjord;1987 1987;93799
8DC Eigth decil;846 Mariagerfjord;1987 1987;102072
9DC Ninth decil;846 Mariagerfjord;1987 1987;113773
10DC Tenth decil;846 Mariagerfjord;1987 1987;153408
1DC First decil;849 Jammerbugt;1987 1987;27183
2DC Second decil;849 Jammerbugt;1987 1987;57158
3DC Third decil;849 Jammerbugt;1987 1987;65395
4DC Fourth decil;849 Jammerbugt;1987 1987;73621
5DC Fifth decil;849 Jammerbugt;1987 1987;80750
6DC Sixth decil;849 Jammerbugt;1987 1987;87511
7DC Seventh decil;849 Jammerbugt;1987 1987;94490
8DC Eigth decil;849 Jammerbugt;1987 1987;102841
9DC Ninth decil;849 Jammerbugt;1987 1987;114036
10DC Tenth decil;849 Jammerbugt;1987 1987;146877
1DC First decil;851 Aalborg;1987 1987;31986
2DC Second decil;851 Aalborg;1987 1987;57437
3DC Third decil;851 Aalborg;1987 1987;66777
4DC Fourth decil;851 Aalborg;1987 1987;75098
5DC Fifth decil;851 Aalborg;1987 1987;82549
6DC Sixth decil;851 Aalborg;1987 1987;89410
7DC Seventh decil;851 Aalborg;1987 1987;96718
8DC Eigth decil;851 Aalborg;1987 1987;105265
9DC Ninth decil;851 Aalborg;1987 1987;117245
10DC Tenth decil;851 Aalborg;1987 1987;156630
1DC First decil;860 Hjørring;1987 1987;23921
2DC Second decil;860 Hjørring;1987 1987;57207
3DC Third decil;860 Hjørring;1987 1987;66217
4DC Fourth decil;860 Hjørring;1987 1987;74100
5DC Fifth decil;860 Hjørring;1987 1987;81543
6DC Sixth decil;860 Hjørring;1987 1987;88302
7DC Seventh decil;860 Hjørring;1987 1987;95239
8DC Eigth decil;860 Hjørring;1987 1987;103663
9DC Ninth decil;860 Hjørring;1987 1987;115491
10DC Tenth decil;860 Hjørring;1987 1987;154591
1DC First decil;000 All Denmark;1987 1987;31418
2DC Second decil;000 All Denmark;1987 1987;59014
3DC Third decil;000 All Denmark;1987 1987;68786
4DC Fourth decil;000 All Denmark;1987 1987;77577
5DC Fifth decil;000 All Denmark;1987 1987;85361
6DC Sixth decil;000 All Denmark;1987 1987;92777
7DC Seventh decil;000 All Denmark;1987 1987;100691
8DC Eigth decil;000 All Denmark;1987 1987;110184
9DC Ninth decil;000 All Denmark;1987 1987;123582
10DC Tenth decil;000 All Denmark;1987 1987;169598
1DC First decil;101 Copenhagen;1987 1987;29451
2DC Second decil;101 Copenhagen;1987 1987;52148
3DC Third decil;101 Copenhagen;1987 1987;60026
4DC Fourth decil;101 Copenhagen;1987 1987;68375
5DC Fifth decil;101 Copenhagen;1987 1987;77260
6DC Sixth decil;101 Copenhagen;1987 1987;86140
7DC Seventh decil;101 Copenhagen;1987 1987;95088
8DC Eigth decil;101 Copenhagen;1987 1987;105035
9DC Ninth decil;101 Copenhagen;1987 1987;118188
10DC Tenth decil;101 Copenhagen;1987 1987;155794
1DC First decil;147 Frederiksberg;1987 1987;29652
2DC Second decil;147 Frederiksberg;1987 1987;56015
3DC Third decil;147 Frederiksberg;1987 1987;66759
4DC Fourth decil;147 Frederiksberg;1987 1987;77686
5DC Fifth decil;147 Frederiksberg;1987 1987;88062
6DC Sixth decil;147 Frederiksberg;1987 1987;97797
7DC Seventh decil;147 Frederiksberg;1987 1987;107907
8DC Eigth decil;147 Frederiksberg;1987 1987;119380
9DC Ninth decil;147 Frederiksberg;1987 1987;135766
10DC Tenth decil;147 Frederiksberg;1987 1987;194192
1DC First decil;151 Ballerup;1987 1987;48789
2DC Second decil;151 Ballerup;1987 1987;70440
3DC Third decil;151 Ballerup;1987 1987;81397
4DC Fourth decil;151 Ballerup;1987 1987;90100
5DC Fifth decil;151 Ballerup;1987 1987;97630
6DC Sixth decil;151 Ballerup;1987 1987;104948
7DC Seventh decil;151 Ballerup;1987 1987;112703
8DC Eigth decil;151 Ballerup;1987 1987;121833
9DC Ninth decil;151 Ballerup;1987 1987;134842
10DC Tenth decil;151 Ballerup;1987 1987;172788
1DC First decil;153 Brøndby;1987 1987;44722
2DC Second decil;153 Brøndby;1987 1987;66356
3DC Third decil;153 Brøndby;1987 1987;76047
4DC Fourth decil;153 Brøndby;1987 1987;84257
5DC Fifth decil;153 Brøndby;1987 1987;91775
6DC Sixth decil;153 Brøndby;1987 1987;99057
7DC Seventh decil;153 Brøndby;1987 1987;106938
8DC Eigth decil;153 Brøndby;1987 1987;116082
9DC Ninth decil;153 Brøndby;1987 1987;128484
10DC Tenth decil;153 Brøndby;1987 1987;161693
1DC First decil;155 Dragør;1987 1987;45439
2DC Second decil;155 Dragør;1987 1987;78001
3DC Third decil;155 Dragør;1987 1987;90953
4DC Fourth decil;155 Dragør;1987 1987;101088
5DC Fifth decil;155 Dragør;1987 1987;109278
6DC Sixth decil;155 Dragør;1987 1987;117508
7DC Seventh decil;155 Dragør;1987 1987;126677
8DC Eigth decil;155 Dragør;1987 1987;137837
9DC Ninth decil;155 Dragør;1987 1987;154533
10DC Tenth decil;155 Dragør;1987 1987;222569
1DC First decil;157 Gentofte;1987 1987;23624
2DC Second decil;157 Gentofte;1987 1987;66741
3DC Third decil;157 Gentofte;1987 1987;83525
4DC Fourth decil;157 Gentofte;1987 1987;96477
5DC Fifth decil;157 Gentofte;1987 1987;107879
6DC Sixth decil;157 Gentofte;1987 1987;119344
7DC Seventh decil;157 Gentofte;1987 1987;131863
8DC Eigth decil;157 Gentofte;1987 1987;147779
9DC Ninth decil;157 Gentofte;1987 1987;172325
10DC Tenth decil;157 Gentofte;1987 1987;314572
1DC First decil;159 Gladsaxe;1987 1987;36024
