OMRÅDE;ALDER;KØN;TID;INDHOLD
760 Ringkøbing-Skjern;TOT Age, total;TOT Total;2023M05 2023M05;1.6
766 Hedensted;TOT Age, total;TOT Total;2023M05 2023M05;1.9
773 Morsø;TOT Age, total;TOT Total;2023M05 2023M05;2.4
779 Skive;TOT Age, total;TOT Total;2023M05 2023M05;1.8
787 Thisted;TOT Age, total;TOT Total;2023M05 2023M05;1.9
791 Viborg;TOT Age, total;TOT Total;2023M05 2023M05;2.6
810 Brønderslev;TOT Age, total;TOT Total;2023M05 2023M05;2.5
813 Frederikshavn;TOT Age, total;TOT Total;2023M05 2023M05;3.4
820 Vesthimmerlands;TOT Age, total;TOT Total;2023M05 2023M05;2.6
320 Faxe;TOT Age, total;TOT Total;2015M10 2015M10;4.3
326 Kalundborg;TOT Age, total;TOT Total;2015M10 2015M10;3.9
329 Ringsted;TOT Age, total;TOT Total;2015M10 2015M10;3.8
330 Slagelse;TOT Age, total;TOT Total;2015M10 2015M10;5.3
336 Stevns;TOT Age, total;TOT Total;2015M10 2015M10;3.7
340 Sorø;TOT Age, total;TOT Total;2015M10 2015M10;4.0
350 Lejre;TOT Age, total;TOT Total;2015M10 2015M10;2.8
360 Lolland;TOT Age, total;TOT Total;2015M10 2015M10;5.7
370 Næstved;TOT Age, total;TOT Total;2015M10 2015M10;4.8
376 Guldborgsund;TOT Age, total;TOT Total;2015M10 2015M10;4.8
390 Vordingborg;TOT Age, total;TOT Total;2015M10 2015M10;4.6
400 Bornholm;TOT Age, total;TOT Total;2015M10 2015M10;5.4
410 Middelfart;TOT Age, total;TOT Total;2015M10 2015M10;2.9
420 Assens;TOT Age, total;TOT Total;2015M10 2015M10;4.7
430 Faaborg-Midtfyn;TOT Age, total;TOT Total;2015M10 2015M10;4.2
440 Kerteminde;TOT Age, total;TOT Total;2015M10 2015M10;4.3
450 Nyborg;TOT Age, total;TOT Total;2015M10 2015M10;4.1
461 Odense;TOT Age, total;TOT Total;2015M10 2015M10;6.0
479 Svendborg;TOT Age, total;TOT Total;2015M10 2015M10;4.9
480 Nordfyns;TOT Age, total;TOT Total;2015M10 2015M10;4.8
482 Langeland;TOT Age, total;TOT Total;2015M10 2015M10;4.8
492 Ærø;TOT Age, total;TOT Total;2015M10 2015M10;3.9
510 Haderslev;TOT Age, total;TOT Total;2015M10 2015M10;4.0
530 Billund;TOT Age, total;TOT Total;2015M10 2015M10;2.8
540 Sønderborg;TOT Age, total;TOT Total;2015M10 2015M10;4.3
550 Tønder;TOT Age, total;TOT Total;2015M10 2015M10;3.4
561 Esbjerg;TOT Age, total;TOT Total;2015M10 2015M10;4.2
563 Fanø;TOT Age, total;TOT Total;2015M10 2015M10;4.7
