KOMMUNEDK;INDKN;TID;INDHOLD
340 Sorø;60 60 per cent of median income;2006 2006;7.9
360 Lolland;60 60 per cent of median income;2006 2006;14.5
376 Guldborgsund;60 60 per cent of median income;2006 2006;11.1
400 Bornholm;60 60 per cent of median income;2006 2006;11.1
420 Assens;60 60 per cent of median income;2006 2006;8.5
440 Kerteminde;60 60 per cent of median income;2006 2006;6.8
461 Odense;60 60 per cent of median income;2006 2006;15.8
480 Nordfyns;60 60 per cent of median income;2006 2006;8.3
492 Ærø;60 60 per cent of median income;2006 2006;12.6
530 Billund;60 60 per cent of median income;2006 2006;7.8
550 Tønder;60 60 per cent of median income;2006 2006;11.2
563 Fanø;60 60 per cent of median income;2006 2006;6.9
575 Vejen;60 60 per cent of median income;2006 2006;8.6
607 Fredericia;60 60 per cent of median income;2006 2006;7.9
621 Kolding;60 60 per cent of median income;2006 2006;9.2
657 Herning;60 60 per cent of median income;2006 2006;8.7
665 Lemvig;60 60 per cent of median income;2006 2006;9.2
706 Syddjurs;60 60 per cent of median income;2006 2006;8.0
710 Favrskov;60 60 per cent of median income;2006 2006;6.0
730 Randers;60 60 per cent of median income;2006 2006;9.9
741 Samsø;60 60 per cent of median income;2006 2006;11.7
751 Aarhus;60 60 per cent of median income;2006 2006;17.0
760 Ringkøbing-Skjern;60 60 per cent of median income;2006 2006;8.1
773 Morsø;60 60 per cent of median income;2006 2006;11.8
787 Thisted;60 60 per cent of median income;2006 2006;11.4
810 Brønderslev;60 60 per cent of median income;2006 2006;10.3
820 Vesthimmerlands;60 60 per cent of median income;2006 2006;10.7
840 Rebild;60 60 per cent of median income;2006 2006;8.2
849 Jammerbugt;60 60 per cent of median income;2006 2006;9.6
860 Hjørring;60 60 per cent of median income;2006 2006;10.5
101 Copenhagen;60 60 per cent of median income;2004 2004;22.2
151 Ballerup;60 60 per cent of median income;2004 2004;7.1
155 Dragør;60 60 per cent of median income;2004 2004;4.6
159 Gladsaxe;60 60 per cent of median income;2004 2004;9.6
163 Herlev;60 60 per cent of median income;2004 2004;10.2
