OMRÅDE;KØN;TID;INDHOLD
350 Lejre;TOT Total;2002:2006 2002:2006;78.9
360 Lolland;TOT Total;2002:2006 2002:2006;74.7
370 Næstved;TOT Total;2002:2006 2002:2006;77.3
376 Guldborgsund;TOT Total;2002:2006 2002:2006;76.6
390 Vordingborg;TOT Total;2002:2006 2002:2006;76.7
400 Bornholm;TOT Total;2002:2006 2002:2006;77.6
410 Middelfart;TOT Total;2002:2006 2002:2006;78.1
420 Assens;TOT Total;2002:2006 2002:2006;77.7
430 Faaborg-Midtfyn;TOT Total;2002:2006 2002:2006;78.4
440 Kerteminde;TOT Total;2002:2006 2002:2006;78.0
450 Nyborg;TOT Total;2002:2006 2002:2006;77.7
461 Odense;TOT Total;2002:2006 2002:2006;77.6
479 Svendborg;TOT Total;2002:2006 2002:2006;77.8
480 Nordfyns;TOT Total;2002:2006 2002:2006;77.8
482 Langeland;TOT Total;2002:2006 2002:2006;77.2
492 Ærø;TOT Total;2002:2006 2002:2006;..
510 Haderslev;TOT Total;2002:2006 2002:2006;77.6
530 Billund;TOT Total;2002:2006 2002:2006;78.4
540 Sønderborg;TOT Total;2002:2006 2002:2006;79.1
550 Tønder;TOT Total;2002:2006 2002:2006;77.5
561 Esbjerg;TOT Total;2002:2006 2002:2006;77.2
563 Fanø;TOT Total;2002:2006 2002:2006;..
573 Varde;TOT Total;2002:2006 2002:2006;78.3
575 Vejen;TOT Total;2002:2006 2002:2006;78.5
580 Aabenraa;TOT Total;2002:2006 2002:2006;78.1
607 Fredericia;TOT Total;2002:2006 2002:2006;77.2
615 Horsens;TOT Total;2002:2006 2002:2006;77.3
621 Kolding;TOT Total;2002:2006 2002:2006;78.1
630 Vejle;TOT Total;2002:2006 2002:2006;78.0
657 Herning;TOT Total;2002:2006 2002:2006;77.6
661 Holstebro;TOT Total;2002:2006 2002:2006;77.6
665 Lemvig;TOT Total;2002:2006 2002:2006;77.2
671 Struer;TOT Total;2002:2006 2002:2006;78.1
706 Syddjurs;TOT Total;2002:2006 2002:2006;78.9
707 Norddjurs;TOT Total;2002:2006 2002:2006;77.4
710 Favrskov;TOT Total;2002:2006 2002:2006;79.1
727 Odder;TOT Total;2002:2006 2002:2006;78.5
730 Randers;TOT Total;2002:2006 2002:2006;77.2
740 Silkeborg;TOT Total;2002:2006 2002:2006;78.4
741 Samsø;TOT Total;2002:2006 2002:2006;..
746 Skanderborg;TOT Total;2002:2006 2002:2006;78.6
751 Aarhus;TOT Total;2002:2006 2002:2006;78.4
756 Ikast-Brande;TOT Total;2002:2006 2002:2006;78.5
760 Ringkøbing-Skjern;TOT Total;2002:2006 2002:2006;78.3
766 Hedensted;TOT Total;2002:2006 2002:2006;78.6
773 Morsø;TOT Total;2002:2006 2002:2006;77.1
779 Skive;TOT Total;2002:2006 2002:2006;77.7
787 Thisted;TOT Total;2002:2006 2002:2006;76.8
791 Viborg;TOT Total;2002:2006 2002:2006;77.9
810 Brønderslev;TOT Total;2002:2006 2002:2006;78.4
813 Frederikshavn;TOT Total;2002:2006 2002:2006;76.9
820 Vesthimmerlands;TOT Total;2002:2006 2002:2006;77.6
825 Læsø;TOT Total;2002:2006 2002:2006;..
840 Rebild;TOT Total;2002:2006 2002:2006;78.6
846 Mariagerfjord;TOT Total;2002:2006 2002:2006;77.6
849 Jammerbugt;TOT Total;2002:2006 2002:2006;78.2
851 Aalborg;TOT Total;2002:2006 2002:2006;77.7
860 Hjørring;TOT Total;2002:2006 2002:2006;78.0
183 Ishøj;TOT Total;2011:2015 2011:2015;78.4
