Year,MunicipalityCode,Municipality,DecileCode,DecileNumber,Decile,AvgDisposableIncome
2006,000,All Denmark,7DC,7,Seventh decil,210551
2006,000,All Denmark,8DC,8,Eigth decil,234736
2006,000,All Denmark,9DC,9,Ninth decil,270978
2006,000,All Denmark,10DC,10,Tenth decil,447312
2007,000,All Denmark,1DC,1,First decil,64729
2007,000,All Denmark,2DC,2,Second decil,121499
2007,000,All Denmark,3DC,3,Third decil,140882
2007,000,All Denmark,4DC,4,Fourth decil,159688
2007,000,All Denmark,5DC,5,Fifth decil,177868
2007,000,All Denmark,6DC,6,Sixth decil,196045
2007,000,All Denmark,7DC,7,Seventh decil,215945
2007,000,All Denmark,8DC,8,Eigth decil,240638
2007,000,All Denmark,9DC,9,Ninth decil,277551
2007,000,All Denmark,10DC,10,Tenth decil,466484
2008,000,All Denmark,1DC,1,First decil,33815
2008,000,All Denmark,2DC,2,Second decil,123441
2008,000,All Denmark,3DC,3,Third decil,144035
2008,000,All Denmark,4DC,4,Fourth decil,163606
2008,000,All Denmark,5DC,5,Fifth decil,182478
2008,000,All Denmark,6DC,6,Sixth decil,201136
2008,000,All Denmark,7DC,7,Seventh decil,221427
2008,000,All Denmark,8DC,8,Eigth decil,246484
2008,000,All Denmark,9DC,9,Ninth decil,283514
2008,000,All Denmark,10DC,10,Tenth decil,446011
2009,000,All Denmark,1DC,1,First decil,44078
2009,000,All Denmark,2DC,2,Second decil,126331
2009,000,All Denmark,3DC,3,Third decil,147131
2009,000,All Denmark,4DC,4,Fourth decil,167022
2009,000,All Denmark,5DC,5,Fifth decil,186859
2009,000,All Denmark,6DC,6,Sixth decil,206688
2009,000,All Denmark,7DC,7,Seventh decil,228017
2009,000,All Denmark,8DC,8,Eigth decil,253698
2009,000,All Denmark,9DC,9,Ninth decil,290811
2009,000,All Denmark,10DC,10,Tenth decil,437019
2010,000,All Denmark,1DC,1,First decil,58517
2010,000,All Denmark,2DC,2,Second decil,133314
2010,000,All Denmark,3DC,3,Third decil,155258
2010,000,All Denmark,4DC,4,Fourth decil,176861
2010,000,All Denmark,5DC,5,Fifth decil,198711
2010,000,All Denmark,6DC,6,Sixth decil,220835
2010,000,All Denmark,7DC,7,Seventh decil,245061
2010,000,All Denmark,8DC,8,Eigth decil,274629
2010,000,All Denmark,9DC,9,Ninth decil,318054
2010,000,All Denmark,10DC,10,Tenth decil,500012
2011,000,All Denmark,1DC,1,First decil,61405
2011,000,All Denmark,2DC,2,Second decil,135247
2011,000,All Denmark,3DC,3,Third decil,157641
2011,000,All Denmark,4DC,4,Fourth decil,179613
2011,000,All Denmark,5DC,5,Fifth decil,202048
2011,000,All Denmark,6DC,6,Sixth decil,224771
2011,000,All Denmark,7DC,7,Seventh decil,249659
2011,000,All Denmark,8DC,8,Eigth decil,280171
2011,000,All Denmark,9DC,9,Ninth decil,325162
2011,000,All Denmark,10DC,10,Tenth decil,516944
2012,000,All Denmark,1DC,1,First decil,72143
2012,000,All Denmark,2DC,2,Second decil,138299
2012,000,All Denmark,3DC,3,Third decil,160792
2012,000,All Denmark,4DC,4,Fourth decil,182871
2012,000,All Denmark,5DC,5,Fifth decil,205633
2012,000,All Denmark,6DC,6,Sixth decil,228906
2012,000,All Denmark,7DC,7,Seventh decil,254534
2012,000,All Denmark,8DC,8,Eigth decil,285933
2012,000,All Denmark,9DC,9,Ninth decil,332513
2012,000,All Denmark,10DC,10,Tenth decil,533189
2013,000,All Denmark,1DC,1,First decil,75704
2013,000,All Denmark,2DC,2,Second decil,140049
2013,000,All Denmark,3DC,3,Third decil,163582
2013,000,All Denmark,4DC,4,Fourth decil,185931
2013,000,All Denmark,5DC,5,Fifth decil,209384
2013,000,All Denmark,6DC,6,Sixth decil,233523
2013,000,All Denmark,7DC,7,Seventh decil,260360
2013,000,All Denmark,8DC,8,Eigth decil,293590
2013,000,All Denmark,9DC,9,Ninth decil,342855
2013,000,All Denmark,10DC,10,Tenth decil,560961
2014,000,All Denmark,1DC,1,First decil,70459
2014,000,All Denmark,2DC,2,Second decil,142148
2014,000,All Denmark,3DC,3,Third decil,166795
2014,000,All Denmark,4DC,4,Fourth decil,190010
2014,000,All Denmark,5DC,5,Fifth decil,214412
2014,000,All Denmark,6DC,6,Sixth decil,239499
2014,000,All Denmark,7DC,7,Seventh decil,267373
2014,000,All Denmark,8DC,8,Eigth decil,301774
2014,000,All Denmark,9DC,9,Ninth decil,352557
2014,000,All Denmark,10DC,10,Tenth decil,573866
2015,000,All Denmark,1DC,1,First decil,77728
2015,000,All Denmark,2DC,2,Second decil,143630
2015,000,All Denmark,3DC,3,Third decil,169095
2015,000,All Denmark,4DC,4,Fourth decil,192715
2015,000,All Denmark,5DC,5,Fifth decil,217580
2015,000,All Denmark,6DC,6,Sixth decil,243288
2015,000,All Denmark,7DC,7,Seventh decil,271974
2015,000,All Denmark,8DC,8,Eigth decil,307454
2015,000,All Denmark,9DC,9,Ninth decil,360069
2015,000,All Denmark,10DC,10,Tenth decil,607665
2016,000,All Denmark,1DC,1,First decil,75853
2016,000,All Denmark,2DC,2,Second decil,144500
2016,000,All Denmark,3DC,3,Third decil,171292
2016,000,All Denmark,4DC,4,Fourth decil,195643
2016,000,All Denmark,5DC,5,Fifth decil,221437
2016,000,All Denmark,6DC,6,Sixth decil,248126
2016,000,All Denmark,7DC,7,Seventh decil,277775
2016,000,All Denmark,8DC,8,Eigth decil,314207
2016,000,All Denmark,9DC,9,Ninth decil,368072
2016,000,All Denmark,10DC,10,Tenth decil,615554
2017,000,All Denmark,1DC,1,First decil,78128
2017,000,All Denmark,2DC,2,Second decil,146503
2017,000,All Denmark,3DC,3,Third decil,174947
2017,000,All Denmark,4DC,4,Fourth decil,200087
2017,000,All Denmark,5DC,5,Fifth decil,226804
2017,000,All Denmark,6DC,6,Sixth decil,254422
2017,000,All Denmark,7DC,7,Seventh decil,285080
2017,000,All Denmark,8DC,8,Eigth decil,322842
2017,000,All Denmark,9DC,9,Ninth decil,378649
2017,000,All Denmark,10DC,10,Tenth decil,641188
2018,000,All Denmark,1DC,1,First decil,78721
2018,000,All Denmark,2DC,2,Second decil,151039
2018,000,All Denmark,3DC,3,Third decil,179714
2018,000,All Denmark,4DC,4,Fourth decil,205721
2018,000,All Denmark,5DC,5,Fifth decil,233247
2018,000,All Denmark,6DC,6,Sixth decil,261607
2018,000,All Denmark,7DC,7,Seventh decil,293222
2018,000,All Denmark,8DC,8,Eigth decil,331975
2018,000,All Denmark,9DC,9,Ninth decil,388934
2018,000,All Denmark,10DC,10,Tenth decil,648231
2019,000,All Denmark,1DC,1,First decil,83792
2019,000,All Denmark,2DC,2,Second decil,154985
2019,000,All Denmark,3DC,3,Third decil,184053
2019,000,All Denmark,4DC,4,Fourth decil,210708
2019,000,All Denmark,5DC,5,Fifth decil,238796
2019,000,All Denmark,6DC,6,Sixth decil,267917
2019,000,All Denmark,7DC,7,Seventh decil,300200
2019,000,All Denmark,8DC,8,Eigth decil,339935
2019,000,All Denmark,9DC,9,Ninth decil,398818
2019,000,All Denmark,10DC,10,Tenth decil,688377
2020,000,All Denmark,1DC,1,First decil,88188
2020,000,All Denmark,2DC,2,Second decil,160361
2020,000,All Denmark,3DC,3,Third decil,190111
2020,000,All Denmark,4DC,4,Fourth decil,218820
2020,000,All Denmark,5DC,5,Fifth decil,249210
2020,000,All Denmark,6DC,6,Sixth decil,280604
2020,000,All Denmark,7DC,7,Seventh decil,315119
2020,000,All Denmark,8DC,8,Eigth decil,357273
2020,000,All Denmark,9DC,9,Ninth decil,419353
2020,000,All Denmark,10DC,10,Tenth decil,719999
2021,000,All Denmark,1DC,1,First decil,95473
2021,000,All Denmark,2DC,2,Second decil,166971
2021,000,All Denmark,3DC,3,Third decil,196935
2021,000,All Denmark,4DC,4,Fourth decil,227383
2021,000,All Denmark,5DC,5,Fifth decil,259036
2021,000,All Denmark,6DC,6,Sixth decil,291453
2021,000,All Denmark,7DC,7,Seventh decil,327257
2021,000,All Denmark,8DC,8,Eigth decil,371556
2021,000,All Denmark,9DC,9,Ninth decil,437776
2021,000,All Denmark,10DC,10,Tenth decil,779827
2022,000,All Denmark,1DC,1,First decil,88404
2022,000,All Denmark,2DC,2,Second decil,170941
2022,000,All Denmark,3DC,3,Third decil,201579
2022,000,All Denmark,4DC,4,Fourth decil,231643
2022,000,All Denmark,5DC,5,Fifth decil,262566
2022,000,All Denmark,6DC,6,Sixth decil,294157
2022,000,All Denmark,7DC,7,Seventh decil,329162
2022,000,All Denmark,8DC,8,Eigth decil,372479
2022,000,All Denmark,9DC,9,Ninth decil,437373
2022,000,All Denmark,10DC,10,Tenth decil,769052
2023,000,All Denmark,1DC,1,First decil,96295
2023,000,All Denmark,2DC,2,Second decil,176981
2023,000,All Denmark,3DC,3,Third decil,208472
2023,000,All Denmark,4DC,4,Fourth decil,238441
2023,000,All Denmark,5DC,5,Fifth decil,269697
2023,000,All Denmark,6DC,6,Sixth decil,301829
2023,000,All Denmark,7DC,7,Seventh decil,337862
2023,000,All Denmark,8DC,8,Eigth decil,383209
2023,000,All Denmark,9DC,9,Ninth decil,452178
2023,000,All Denmark,10DC,10,Tenth decil,834074
2024,000,All Denmark,1DC,1,First decil,101181
2024,000,All Denmark,2DC,2,Second decil,182331
2024,000,All Denmark,3DC,3,Third decil,213817
2024,000,All Denmark,4DC,4,Fourth decil,245750
2024,000,All Denmark,5DC,5,Fifth decil,278084
2024,000,All Denmark,6DC,6,Sixth decil,311118
2024,000,All Denmark,7DC,7,Seventh decil,348230
2024,000,All Denmark,8DC,8,Eigth decil,395277
2024,000,All Denmark,9DC,9,Ninth decil,466658
2024,000,All Denmark,10DC,10,Tenth decil,852980
1987,101,Copenhagen,1DC,1,First decil,29451
1987,101,Copenhagen,2DC,2,Second decil,52148
1987,101,Copenhagen,3DC,3,Third decil,60026
1987,101,Copenhagen,4DC,4,Fourth decil,68375
1987,101,Copenhagen,5DC,5,Fifth decil,77260
1987,101,Copenhagen,6DC,6,Sixth decil,86140
1987,101,Copenhagen,7DC,7,Seventh decil,95088
1987,101,Copenhagen,8DC,8,Eigth decil,105035
1987,101,Copenhagen,9DC,9,Ninth decil,118188
1987,101,Copenhagen,10DC,10,Tenth decil,155794
1988,101,Copenhagen,1DC,1,First decil,30233
1988,101,Copenhagen,2DC,2,Second decil,55156
1988,101,Copenhagen,3DC,3,Third decil,63421
1988,101,Copenhagen,4DC,4,Fourth decil,72050
1988,101,Copenhagen,5DC,5,Fifth decil,81370
1988,101,Copenhagen,6DC,6,Sixth decil,90869
1988,101,Copenhagen,7DC,7,Seventh decil,100321
1988,101,Copenhagen,8DC,8,Eigth decil,110808
1988,101,Copenhagen,9DC,9,Ninth decil,124580
1988,101,Copenhagen,10DC,10,Tenth decil,163769
1989,101,Copenhagen,1DC,1,First decil,30219
1989,101,Copenhagen,2DC,2,Second decil,58005
1989,101,Copenhagen,3DC,3,Third decil,66904
1989,101,Copenhagen,4DC,4,Fourth decil,75513
1989,101,Copenhagen,5DC,5,Fifth decil,84723
1989,101,Copenhagen,6DC,6,Sixth decil,94309
1989,101,Copenhagen,7DC,7,Seventh decil,104138
1989,101,Copenhagen,8DC,8,Eigth decil,115169
1989,101,Copenhagen,9DC,9,Ninth decil,129709
1989,101,Copenhagen,10DC,10,Tenth decil,170177
1990,101,Copenhagen,1DC,1,First decil,30474
1990,101,Copenhagen,2DC,2,Second decil,59314
1990,101,Copenhagen,3DC,3,Third decil,68626
1990,101,Copenhagen,4DC,4,Fourth decil,77499
1990,101,Copenhagen,5DC,5,Fifth decil,86863
1990,101,Copenhagen,6DC,6,Sixth decil,96737
1990,101,Copenhagen,7DC,7,Seventh decil,106914
1990,101,Copenhagen,8DC,8,Eigth decil,118493
1990,101,Copenhagen,9DC,9,Ninth decil,133921
1990,101,Copenhagen,10DC,10,Tenth decil,177753
1991,101,Copenhagen,1DC,1,First decil,32935
1991,101,Copenhagen,2DC,2,Second decil,60808
1991,101,Copenhagen,3DC,3,Third decil,70403
1991,101,Copenhagen,4DC,4,Fourth decil,79103
1991,101,Copenhagen,5DC,5,Fifth decil,88178
1991,101,Copenhagen,6DC,6,Sixth decil,97929
1991,101,Copenhagen,7DC,7,Seventh decil,108221
1991,101,Copenhagen,8DC,8,Eigth decil,120100
1991,101,Copenhagen,9DC,9,Ninth decil,136091
1991,101,Copenhagen,10DC,10,Tenth decil,182779
1992,101,Copenhagen,1DC,1,First decil,33149
1992,101,Copenhagen,2DC,2,Second decil,62214
1992,101,Copenhagen,3DC,3,Third decil,72045
1992,101,Copenhagen,4DC,4,Fourth decil,80979
1992,101,Copenhagen,5DC,5,Fifth decil,90445
1992,101,Copenhagen,6DC,6,Sixth decil,100632
1992,101,Copenhagen,7DC,7,Seventh decil,111446
1992,101,Copenhagen,8DC,8,Eigth decil,123864
1992,101,Copenhagen,9DC,9,Ninth decil,140421
1992,101,Copenhagen,10DC,10,Tenth decil,188727
1993,101,Copenhagen,1DC,1,First decil,34665
1993,101,Copenhagen,2DC,2,Second decil,63045
1993,101,Copenhagen,3DC,3,Third decil,73256
1993,101,Copenhagen,4DC,4,Fourth decil,82352
1993,101,Copenhagen,5DC,5,Fifth decil,92080
1993,101,Copenhagen,6DC,6,Sixth decil,102528
1993,101,Copenhagen,7DC,7,Seventh decil,113730
1993,101,Copenhagen,8DC,8,Eigth decil,126656
1993,101,Copenhagen,9DC,9,Ninth decil,144314
1993,101,Copenhagen,10DC,10,Tenth decil,195804
1994,101,Copenhagen,1DC,1,First decil,39846
1994,101,Copenhagen,2DC,2,Second decil,67242
1994,101,Copenhagen,3DC,3,Third decil,78130
1994,101,Copenhagen,4DC,4,Fourth decil,87109
1994,101,Copenhagen,5DC,5,Fifth decil,96927
1994,101,Copenhagen,6DC,6,Sixth decil,107722
1994,101,Copenhagen,7DC,7,Seventh decil,119748
1994,101,Copenhagen,8DC,8,Eigth decil,133780
1994,101,Copenhagen,9DC,9,Ninth decil,152609
1994,101,Copenhagen,10DC,10,Tenth decil,207438
1995,101,Copenhagen,1DC,1,First decil,40515
1995,101,Copenhagen,2DC,2,Second decil,69450
1995,101,Copenhagen,3DC,3,Third decil,80210
1995,101,Copenhagen,4DC,4,Fourth decil,89420
1995,101,Copenhagen,5DC,5,Fifth decil,99880
1995,101,Copenhagen,6DC,6,Sixth decil,111411
1995,101,Copenhagen,7DC,7,Seventh decil,124125
1995,101,Copenhagen,8DC,8,Eigth decil,138921
1995,101,Copenhagen,9DC,9,Ninth decil,158943
1995,101,Copenhagen,10DC,10,Tenth decil,219035
1996,101,Copenhagen,1DC,1,First decil,43784
1996,101,Copenhagen,2DC,2,Second decil,71154
1996,101,Copenhagen,3DC,3,Third decil,82079
1996,101,Copenhagen,4DC,4,Fourth decil,91766
1996,101,Copenhagen,5DC,5,Fifth decil,102872
1996,101,Copenhagen,6DC,6,Sixth decil,115188
1996,101,Copenhagen,7DC,7,Seventh decil,128828
1996,101,Copenhagen,8DC,8,Eigth decil,144687
1996,101,Copenhagen,9DC,9,Ninth decil,166081
1996,101,Copenhagen,10DC,10,Tenth decil,229886
1997,101,Copenhagen,1DC,1,First decil,43178
1997,101,Copenhagen,2DC,2,Second decil,72560
1997,101,Copenhagen,3DC,3,Third decil,84073
1997,101,Copenhagen,4DC,4,Fourth decil,94052
1997,101,Copenhagen,5DC,5,Fifth decil,105461
1997,101,Copenhagen,6DC,6,Sixth decil,118161
1997,101,Copenhagen,7DC,7,Seventh decil,132113
1997,101,Copenhagen,8DC,8,Eigth decil,148560
1997,101,Copenhagen,9DC,9,Ninth decil,171041
1997,101,Copenhagen,10DC,10,Tenth decil,242984
1998,101,Copenhagen,1DC,1,First decil,45957
1998,101,Copenhagen,2DC,2,Second decil,75640
1998,101,Copenhagen,3DC,3,Third decil,87751
1998,101,Copenhagen,4DC,4,Fourth decil,98422
1998,101,Copenhagen,5DC,5,Fifth decil,110768
1998,101,Copenhagen,6DC,6,Sixth decil,124501
1998,101,Copenhagen,7DC,7,Seventh decil,139415
1998,101,Copenhagen,8DC,8,Eigth decil,156950
1998,101,Copenhagen,9DC,9,Ninth decil,181107
1998,101,Copenhagen,10DC,10,Tenth decil,257578
1999,101,Copenhagen,1DC,1,First decil,45452
1999,101,Copenhagen,2DC,2,Second decil,77628
1999,101,Copenhagen,3DC,3,Third decil,90317
1999,101,Copenhagen,4DC,4,Fourth decil,101743
1999,101,Copenhagen,5DC,5,Fifth decil,115189
1999,101,Copenhagen,6DC,6,Sixth decil,129834
1999,101,Copenhagen,7DC,7,Seventh decil,145792
1999,101,Copenhagen,8DC,8,Eigth decil,164002
1999,101,Copenhagen,9DC,9,Ninth decil,189100
1999,101,Copenhagen,10DC,10,Tenth decil,269507
2000,101,Copenhagen,1DC,1,First decil,45042
2000,101,Copenhagen,2DC,2,Second decil,79666
2000,101,Copenhagen,3DC,3,Third decil,93084
2000,101,Copenhagen,4DC,4,Fourth decil,105348
2000,101,Copenhagen,5DC,5,Fifth decil,119724
2000,101,Copenhagen,6DC,6,Sixth decil,135596
2000,101,Copenhagen,7DC,7,Seventh decil,152752
2000,101,Copenhagen,8DC,8,Eigth decil,172309
2000,101,Copenhagen,9DC,9,Ninth decil,199029
2000,101,Copenhagen,10DC,10,Tenth decil,291280
